"RefDes","Name","Value","Quantity","Supplier","SKU","Mfr part"
"C1, C2, C3, C4","CSM_0805_MLCC_10n_50V_X7R","10n 50V","4","Farnell","2896552","VJ0805Y103JXAPW1BC"
"C5, C6","CSM_0805_MLCC_10p_50V_NP0","10p 50V","2","Farnell","2896463","VJ0805A100GXAPW1BC"
"C7, C9, C10, C11, C13, C15, C16, C20, C21, C22","CSM_0805_MLCC_100n_25V_X7R","100n 25V","10","Farnell","2496943","0805B104K250CT"
"C8, C18","CSM_ELE_10u_25V","10u 25V","2","Farnell","2611368","MCVVT025M100CA1L"
"C12, C19","CSM_0805_MLCC_1u_10V_X7R","1u 10V","2","Farnell","2409048","C0805C105K8RACTU"
"C14","CSM_ELE_47u_35V","47u 35V","1","Farnell","2611391","MCVVT035M470EA1L"
"C17","CSM_ELE_330u_25V","330u 25V","1","Farnell","2611376","MCVVT025M331FB3L"
"D1, D2, D3, D4","TVS_5V_9V2_SMAJ5.0CA","SMAJ5.0CA","4","Farnell","2677666","SMAJ5.0CA"
"D5","DSM_SCH_STPS130A","STPS130A","1","Farnell","1467547","STPS130A"
"F1","FUSE_PTC_0.1A_0.2A_MC33169","MC33169","1","Farnell","1800726","MC33169"
"F2","FUSE_PTC_0.2A_0.4A_MC36187","MC36187","1","Farnell","1861122","MC36187"
"J1","CON_RJ45_MOLEX_43202-8824","UPSTREAM","1","","",""
"J2","CON_RJ45_MOLEX_43202-8824","DOWNSTREAM","1","","",""
"J3","CON_HDR_1x3_2.54","SER","1","Farnell","1593412","2211S-03G"
"J4","CON_HDR_1x3_2.54","DEBUG","1","Farnell","1593412","2211S-03G"
"J5","CON_HDR_1x4_2.54","LED","1","Farnell","1593413","2211S-04G"
"L1","ISM_1000u_BOURNS_SDR1006","1000u","1","Farnell","2859059","SDR1006-102KL"
"R1, R2, R8, R15","RSM0805_500mW_110","110 500mW","4","Farnell","1894172","ERJP06F1100V"
"R3, R4","RSM0805_125mW_3K3","3K3","2","Farnell","2303604","ERJ6ENF3301V"
"R5, R9","RSM0805_125mW_1K","1K","2","Farnell","2303550","ERJ6ENF1001V"
"R6, R7, R10, R11, R13, R14, R16, R17","RSM0805_125mW_22","22","8","Farnell","2303365","ERJ6ENF22R0V"
"R12","RSM0805_125mW_10K","10K","1","Farnell","2074340","MCSR08X103 JTL"
"R18","RSM0805_125mW_160","160","1","Farnell","2303464","ERJ6ENF1600V"
"R19, R20","RSM0805_125mW_68","68","2","Farnell","2303422","ERJ6ENF68R0V"
"T1, T3","78613/2C","","2","Mouser","580-786132C","78613/2C"
"T2, T4","CHOKE_CM","","2","","",""
"U1","RN52-I/RM116","","1","Farnell","2491389","RN52-I/RM116"
"U2, U4","ISL3295EIHZ-T7A","","2","Farnell","2687094","ISL3295EIHZ-T7A"
"U3","ATtiny814-SS","","1","Farnell","2920863","ATTINY814-SSNR"
"U5, U7","ISL83485","","2","Farnell","2543371","ISL83485IBZ-T7A"
"U6","SC16IS752IPW","","1","Farnell","2101309","SC16IS752IPW,112"
"U8","IC_PCA9632DP1","PCA9632DP1","1","Farnell","2759861","PCA9632DP1,118"
"U9","REG_LM2575HVS-3.3","LM2575HVS-3.3","1","Farnell","2492160","	LM2575HVS-3.3/NOPB"
"Y1","XSM_14.7456M_HC49S","14.7456M","1","Farnell","2449417","LFXTAL026908"
"","","","69","","",""
